MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,543144416,,,,,543144416,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543144416,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543144416",PRODUCT,TREX 543144416 Product,"TREX 543144416 Product, Original supplier description: 1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543144416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543144420,,,,,543144420,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543144420,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543144420",PRODUCT,TREX 543144420 Product,"TREX 543144420 Product, Original supplier description: 1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543144420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543143412,,,,,543143412,1nx6-12' Jasper Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543143412,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543143412",PRODUCT,TREX 543143412 Product,"TREX 543143412 Product, Original supplier description: 1nx6-12' Jasper Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543143412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543143416,,,,,543143416,1nx6-16' Jasper Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543143416,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543143416",PRODUCT,TREX 543143416 Product,"TREX 543143416 Product, Original supplier description: 1nx6-16' Jasper Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543143416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543143420,,,,,543143420,1nx6-20' Jasper Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543143420,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543143420",PRODUCT,TREX 543143420 Product,"TREX 543143420 Product, Original supplier description: 1nx6-20' Jasper Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543143420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543141412,,,,,543141412,1nx6-12' Rainier Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543141412,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543141412",PRODUCT,TREX 543141412 Product,"TREX 543141412 Product, Original supplier description: 1nx6-12' Rainier Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543141412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543141416,,,,,543141416,1nx6-16' Rainier Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543141416,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543141416",PRODUCT,TREX 543141416 Product,"TREX 543141416 Product, Original supplier description: 1nx6-16' Rainier Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543141416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,543141420,,,,,543141420,1nx6-20' Rainier Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,TREX,,543141420,,Industrial Supplies > Miscellaneous,"U S Lumber, TREX, Product, 543141420",PRODUCT,TREX 543141420 Product,"TREX 543141420 Product, Original supplier description: 1nx6-20' Rainier Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,543141420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513703,,,,,1513703,1nx6-16' Hatteras Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513703,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513703",PRODUCT,TREX 1513703 Product,"TREX 1513703 Product, Original supplier description: 1nx6-16' Hatteras Sq Edge - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513704,,,,,1513704,1nx6-20' Hatteras Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513704,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513704",PRODUCT,TREX 1513704 Product,"TREX 1513704 Product, Original supplier description: 1nx6-20' Hatteras Sq Edge - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513705,,,,,1513705,1nx6-12' Hatteras Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513705,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513705",PRODUCT,TREX 1513705 Product,"TREX 1513705 Product, Original supplier description: 1nx6-12' Hatteras Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513706,,,,,1513706,1nx6-16' Hatteras Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513706,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513706",PRODUCT,TREX 1513706 Product,"TREX 1513706 Product, Original supplier description: 1nx6-16' Hatteras Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513707,,,,,1513707,1nx6-20' Hatteras Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513707,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513707",PRODUCT,TREX 1513707 Product,"TREX 1513707 Product, Original supplier description: 1nx6-20' Hatteras Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513708,,,,,1513708,1nx6-16' Salt Flat Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513708,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513708",PRODUCT,TREX 1513708 Product,"TREX 1513708 Product, Original supplier description: 1nx6-16' Salt Flat Sq Edge - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513709,,,,,1513709,1nx6-20' Salt Flat Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513709,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513709",PRODUCT,TREX 1513709 Product,"TREX 1513709 Product, Original supplier description: 1nx6-20' Salt Flat Sq Edge - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513710,,,,,1513710,1nx6-12' Salt Flat Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513710,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513710",PRODUCT,TREX 1513710 Product,"TREX 1513710 Product, Original supplier description: 1nx6-12' Salt Flat Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513711,,,,,1513711,1nx6-16' Salt Flat Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513711,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513711",PRODUCT,TREX 1513711 Product,"TREX 1513711 Product, Original supplier description: 1nx6-16' Salt Flat Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513712,,,,,1513712,1nx6-20' Salt Flat Grooved - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513712,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513712",PRODUCT,TREX 1513712 Product,"TREX 1513712 Product, Original supplier description: 1nx6-20' Salt Flat Grooved - Trex Transcend Lineage Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513717,,,,,1513717,1nx6-16' Honey Grove Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513717,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513717",PRODUCT,TREX 1513717 Product,"TREX 1513717 Product, Original supplier description: 1nx6-16' Honey Grove Sq Edge - Trex Enhance Naturals Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513718,,,,,1513718,1nx6-20' Honey Grove Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513718,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513718",PRODUCT,TREX 1513718 Product,"TREX 1513718 Product, Original supplier description: 1nx6-20' Honey Grove Sq Edge - Trex Enhance Naturals Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513719,,,,,1513719,1nx6-12' Honey Grove Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513719,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513719",PRODUCT,TREX 1513719 Product,"TREX 1513719 Product, Original supplier description: 1nx6-12' Honey Grove Grooved - Trex Enhance Naturals Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
,,,,,,1513720,,,,,1513720,1nx6-16' Honey Grove Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,TREX,,1513720,,Industrial Supplies > Miscellaneous,"Boise Cascade Building Materials, TREX, Product, 1513720",PRODUCT,TREX 1513720 Product,"TREX 1513720 Product, Original supplier description: 1nx6-16' Honey Grove Grooved - Trex Enhance Naturals Decking",Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Type,Product,,Brand,TREX,,Manufacturer Part Number,1513720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
